 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ N e4 ] , [ N x d4 ]  Regaining the Pawn.
 [ Q f2 ]  [ Q x e8 + ]  [ K c7 ] , [ f8 = B + ]  Discovered check!
 [ N x a5 ]  [ b3 ]  [ N c6 ] , [ N c3 ]  With [ N c3 ] white allows black to place his knight on [ b4 ] which will become a major headache. White would have been better with [ a3 ] which protects this square and still allows [ N c3 ] on whites next move.
 [ N x g5 ] , [ Q x c3 + ]  The honour was saved at least! :-D
 [ c4 ]  [ B c2 ]  [ B x d6 ]  [ d3 ]  [ c x d3 ] , [ Q x d3 ]  11. [ Q x f3 ] - the start of a queenside liberation process.
 [ Q e5 ] , [ N f7 ]  17. [ N f7 ] forks Black's Q and R forcing the Queen to move again.
 [ O-O ] , [ N c4 ]  Fritz gives this moves a question mark: I will be able to attack the knight with tempo.
 [ d4 ]  [ d5 ] , [ c4 ]  My beloved queen's gambit
 [ N d4 + ]  [ N x d4 ] , [ c x d4 ]  Now I will target the isolated d-pawn!
 [ e x f3 ] , [ N g x f3 ]  At least white has a lead in developtment and unrestricted piece movement (once that knight gets off of d2). And a nice half-open f-file for a rook. I'm starting to like the Utah Gambit.
 [ e5 ] , [ N c3 ]  I then moved the Knight to prevent E4
 [ N c6 ]  [ R e1 ]  [ B e6 ]  [ B b3 ]  [ R c8 ] , [ B x e6 ]  12. Bxe6?? - I think in retrospect it may be here that things start to go a little pear shape. It is very tempting to make this capture and I got suckered into it because it doubled up black's kingside pawns. May have been OK had a pawn been on [ f3 ] and [ c3 ] but they ain't there here! As a result black got a good centre. Two question marks may seem harsh but I think it is a good idea to give this doubling up idea here the skull and crossbones!
 [ K x f7 ]  [ B c4 + ]  [ K e8 ]  [ N f3 ] , [ h6 ]  Feeling a bit confused and defensive. I didn't want any more funny business with Ng5. ...[ d5 ] may have been better.
 [ f x e5 ]  [ f6 ]  [ Q e1 ] , [ f x e5 ]  White's queen has made 4 moves and yet is standing on [ e1 ] only one square away from where she started. Of course white wanted to be able to recapture on [ e5 ] and also wanted to get his queen off the open f-file so black cannot get a discovered attack or pin with his rook on f8.
 [ g6 ]  [ B e2 ]  [ Q x a4 ] , [ B x a6 ]  (!?) Very nasty would have been 34.Be5! with attack on the doubly pinned f6-pawn!
 [ h x g6 ] , [ g x f5 ]  Giving away the idea of [ g5 ] forever. Still not sure it was the right choice. But the closing-in of the dsb can't be played lightly.
 [ Q f1 ] , [ b3 ]  after 59 [ K g1 ] [ Q e3 + ] 60 [ K h1 ] [ [ b2 ] ] wins and 59 [ Q g1 ] [ [ b2 ] ] 60 [ Q h2 + ] [ K h5 ] white has no moves
 [ B d3 + ]  [ K c1 ]  [ R d7 ]  [ R e8 + ]  [ K g7 ]  [ R e3 ] , [ h5 ]  I'm going to try and convert my King-side majority into a passed Pawn.
 [ d5 ] , [ N e5 ]  Continue the fun?
 [ g6 ]  [ d x e6 ]  [ Q c7 ]  [ N d2 ]  [ N e7 ]  [ O-O ]  [ f5 ]  [ Q a4 + ]  [ K d8 ]  [ R d1 ]  [ d5 ] , [ c4 ]  trying to open the file where the king at. the end is near...
 [ B b4 ]  [ Q c7 ] , [ B d3 ]  As Jack prepares to exchange.
 [ h x g6 ]  [ Q x g6 + ] , [ K h8 ]  forced. and king is trapped in the corner.
 [ N x d4 ] , [ Q f6 ]  the queen is out! the checkmate is looming!. well im giving him my rook and ill look to develop during his attack
 [ b4 ] , [ R e5 ]  The right square for the rook. All the e-file squares in the opponent's half of the board provide a safe haven for it. Meanwhile I was not going to worry my head over White's b-pawn...
 [ B x c5 ]  [ N e6 + ]  [ K c8 ]  [ Q x d7 + ]  [ K x d7 ] , [ B g5 ]  I Have a Clear Advantage in the End game.
 [ R h e1 ]  [ f4 ] , [ B d2 ]  20. [ B d2 ] - and Fou Lenoir is forced back.
 [ d x e5 ] , [ d x e5 ]  Why wait e4?
 [ e x d4 ] , [ e x d4 ]  I continue to trade down... But i somehow miss [ R b8 ] which wins the queen and effectively ends the game
 [ Q e7 ] , [ e5 ]  Soldifying the material edge and closing out black's queen's options before advancing with an attack
 [ B x e2 + ]  [ R x e2 ]  [ R d4 + ]  [ K e1 ]  [ R h4 ]  [ R e6 ]  [ R x h2 ]  [ R x c6 ]  [ B x f2 + ]  [ K f1 ]  [ a5 ]  [ R c8 + ]  [ K f7 ]  [ a4 ]  [ B c5 ]  [ R c7 + ]  [ K g6 ]  [ R c6 + ]  [ K g5 ]  [ R c7 ]  [ g6 ]  [ R d7 ]  [ h5 ]  [ c3 ] , [ R x b2 ]  black is content to start picking off white's remaining pawns while forcing his own down the board.
 [ R h3 ]  [ Q x e4 ]  [ Q x h7 + ]  [ K f7 ] , [ Q h5 + ]  White fail to see the power in Qg6! This move I would probably resign at but it give me chance to escape with draw.
 [ B f2 ] , [ R f3 ]  I tried to exchange pawns on h column and win by exchanging my rook for his bishop in f3. But it didn't worked.
 [ Q c4 ]  [ R d5 ]  [ d x c5 ] , [ Q x c5 ]  I really started to think at this moment. I was trying to decide whether I wanted to take the Queens off the board or play a little bit longer with them on and see what happens. So I decided to keep the Queens in the game and I'm glad I did which you would see later on.
 [ R a8 + ]  [ K g7 ]  [ R a6 ] , [ R c f4 ]  I'm not really concerned about my c pawn. It will not be a factor in the endgame.
 [ g3 ]  [ B f5 ] , [ c4 ]  Well in a way that's a scary move. I figured that White couldn't make that move because I had the square covered twice. Now I need to look deeper and see what I missed. After I trade on [ c5 ] I'm expecting Rc3. Or maybe he'll let me capture on [ c4 ] and then on [ b3 ] and play Rx[ b3 ] aiming at my pawn on b7. It's not like my king can get out of the center. I gotta think about this. My other choice is to retreat the queen like to [ c6 ] so he can't use the b-file for his attack. I think/hope I'll be playing [ K d7 ] eventually to link my rooks.
 [ f5 ]  [ Q g3 ] , [ Q x g3 ]  Now I get what I wanted to
 [ K h1 ] , [ Q g6 ]  adding more pressure to the bishop on [ g2 ]  [ N b5 ]  [ d6 ]  [ N b1 c3 ]  [ a6 ]  [ N a3 ]  [ N f6 ] , [ B g5 ]  It is thematic for White to play [ b5 ] with the threat of [ b4 ] and so it is necessary to protect the [ e4 ] pawn with this Bishop move
 [ N c4 ]  [ Q d8 ]  [ Q c2 ]  [ N f4 ]  [ Q d2 ] , [ N d5 ]  Trying to keep the knight in the 16 inner squares. I will now work on getting pawns on the a-b-c files up the board.
 [ Q x e4 ]  [ B f2 ]  [ B x d4 ]  [ c x d4 ] , [ N e5 g6 ]  12. ........ Ne5[ g6 ] - after that little skirmish I have won a pawn. However Glenda looks rather vulnerable in the centre.
 [ R e b1 ]  [ R f8 ] , [ h4 ]  Fixing the [ h5 ] pawn and preparing eventually to continue on the kingside via [ f3 ] and g4. The pawns on [ f2 ] [ g3 ] and [ h4 ] remind me of a common motif in the King's Indian Attack...
 [ K h1 ] , [ c5 ]  Both the bishops are useless
 [ b6 ]  [ B d3 ]  [ B b7 ] , [ B d2 ]  With this move we leave the database. I have been told by players much better than me to castle early but in an effort to maintain the flexibility to castle long I usually find myself castling as late as possible.
 [ B c5 + ]  [ K h1 ]  [ N f2 + ] , [ K g1 ]  ? Allows a discovered check that wins a pawn.
 [ R x d4 ]  [ c x b7 + ]  [ K c7 ] , [ B e3 ]  The bishop was attacked so it moves with tempo 22.[ B f4 ] is probably well met by 22... [ R x f4 ] 23.[ g x f4 ] [ R g8 ] with some pressure also remember if white doesn't force something black can make a passed pawn with c3.
 [ d x e5 ]  [ d x e5 ] , [ f5 ]  13. [ f5 ] - recommended in the DB.
 [ R x a5 ] , [ B b6 ]  and again but now trapping me.
 [ B f2 ] , [ K b8 ]  freeing up his rooks which can now finally start demolishing me.
 [ B x h6 ]  [ R g8 + ] , [ B g5 ]  Now that I'm occupying the g column with my Rook I can take the Bishop.
 [ K h3 ]  [ Q x g5 ] , [ B e2 ]  BTW he explained how you think more then one step ahead without miscalculating by saying "It's a common pattern that I saw when you took my knight. I had threats against [ [ h2 ] ] and I knew if you put your queen on [ g5 ] I could safely take on [ [ h2 ] ] and win a free pawn. If you took - as you did - I was going to win more material. So patterns help in thinking ahead. I could have played 15. ... [ N e3 + ] winning your rook for my knight. But instead I'm going to try and bring your king into the centre of the board where I can mate him." Then I thanked him for teaching me where patterns play a role thought process tactics strategies and planning ahead. His response was "I've set up a few conditional moves as you only have one move for the next while!" Those moves were concealed.
 [ Q x c8 ]  [ N e5 ]  [ B c6 ]  [ N x c6 ]  [ N x c6 ]  [ N a1 ]  [ b5 ]  [ Q d1 ]  [ Q a8 ]  [ N b3 ]  [ R c8 ]  [ Q d3 ]  [ N b4 ]  [ Q b1 ]  [ a5 ]  [ R c1 ]  [ R x c1 + ] , [ N x c1 ]  Notice how your Queen is constantly threatened or blocked due to the early Queen exposure and the Bishop file.
 [ d4 ] , [ h5 ]  Again not a developing move.
 [ B x a6 ] , [ Q a4 ]  One dangerous thing about putting the queen and king on the same line is a pin or in this case a fork. White doesn't have a way to pull off a fork here but pushing the king out into the field might open something up.
 [ K c8 ]  [ B d4 ]  [ K d7 ] , [ B e3 ]  ?! [ R b7 + ] was probably best to try and bait white to play 37. Kxd6?? Ke8! and white must continue with [ R x b4 ] or otherwise mate is inevitable. This move gives white a good drawing chance after 37. Rb3! and I could not play [ B x f4 ] because the knight would drop after Rdb1.
 [ N b5 ]  [ N c5 ]  [ R x b2 ]  [ N x e6 ]  [ f x e6 ]  [ B x c4 ]  [ N d4 ]  [ B x d4 ] , [ e x d4 ]  As I said right at the start this type of position is ideal for Rapid chess especially for Carlsen! It is difficult for Black to defend too many weaknesses! Good opening choice for White! If Carlsen wins this 1st Rapid game he will be on a roll! But if somehow he screws up and Caruana manage to hold the momentum will shift BIG time! Self confidence and positive mental attitude are crucial especially in short time control! There is one big trick left! 24. [ R x d4 ] [ K f7 ] 25. [ K h1 ] is a must because of the [ N e5 ] threat! If Carlsen finds it it is over!
 [ Q x e5 ] , [ c5 ]  His pawns keep moving forward which gives me the opportunity to get behind them and cause problems.
 [ c6 ] , [ g4 ]  Waiting move mostly.
 [ c5 ]  [ e4 ]  [ N c6 ]  [ N f3 ]  [ d6 ]  [ d4 ]  [ c x d4 ]  [ N x d4 ] , [ N f6 ]  5. ........... [ N f6 ] - I choose [ N f6 ] from the database because it is a developing move and bolsters d5.
 [ f6 ] , [ h5 ]  total breakdown.
 [ N x d4 ]  [ B x d4 ] , [ R e2 ]  The idea behind this move is to play 21. [ f3 ] and challenge black's dsb by 22. Bf2.
 [ N b5 ] , [ Q b8 ]  My queen feels okay there she's still eyeing the [ h2 ] square
 [ a x b4 ]  [ N g3 + ]  [ K f2 ] , [ N x h5 ]  YES ! but it will cost me a pawn in queen side
 [ B x c8 ]  [ Q x c8 ]  [ h6 ] , [ N x f2 ]  Blundering Black's only outposted / developed minor piece
 [ e5 ] , [ c5 ]  All commonly known. White lacks of other good options to protect the pawn so he moves it. After [ e5 ] White will normally attack on the kingside while Black tries to break up the pawn chain undermining the pawn on [ d4 ] with the thematic c5.
 [ Q c3 ]  [ Q x g6 + ]  [ K f8 ]  [ Q f5 + ] , [ K e7 ]  If I can force the Q exchange I will win
 [ R g5 ]  [ b4 ] , [ R x g2 + ]  This is becoming a race and I need to gain time for better positioning of my Rook. This isn't easy.
 [ e x f5 ]  [ e x f5 ] , [ N b8 ]  Seeing no future for this knight he plans to redevelop it. But it's a long way and I have some play.
 [ d5 ]  [ B g2 ]  [ B x g4 ]  [ c4 ] , [ B e6 ]  Reinforcing the pawn. A weak move in retrospect. [ c6 ] appears better now. I as a practitioner of the Nimzo Larsen am aware that his goal is to fianchetto the rook on [ a8 ] (at least for now later I forget this) so delaying the attack on [ d5 ] is what I need to do.
 [ c5 ] , [ Q h5 ]  [ B x h6 ] is playable now since if black captures white can check on [ g6 ] followed by Qxh6ch and has at least a perpetual. White would have three pawns for the bishop and might be able to capture the pawn on f5. But black puts an end to that dream.
 [ h3 ] , [ h5 ]  I don't think this is the best move.
 [ Q b4 + ]  [ K c7 ] , [ Q c5 + ]  closing in for the kill
 [ N x e4 ]  [ N d x e4 ]  [ d x e4 ] , [ Q e2 ]  OK not entirely bad. I like [ B x d7 + ] [ Q x d7 ] [ Q x d7 + ] [ K x d7 ] Nxe4.
 [ B b4 ] , [ R c c1 ]  Double up the rooks again was my thoughts here. I was worried about hanging the rook in the centre. Probably would have been better to move the other rook to C1 and strenghten contol on the file.
 [ h3 ] , [ B x f3 ]  Obviously the bishop cannot retreat to [ h5 ] and any other position would have been passive and loss of tempo. In fact elimination of white's strong knight at [ f3 ] is a good idea and perhaps worth the N/B exchange
 [ d3 ] , [ N f6 ]  This move however doesn't surprise me.
 [ O-O ] , [ Q g3 ]  Myevilluck: 12. [ Q [ g3 ] ] is basically a move anticipating 12. Nc5. I can get my LSB on [ f3 ] instead to protect my [ e4 ] pawn rather than tie up my queen. I also like waving at his king on the g-file. (It stops [ b5 ] for now because he has to open his bishop on its line to protect [ f5 ] as a knight could get there as said earlier and with the Q on [ g3 ] that would be devastating.)
 [ h3 ]  [ e5 ]  [ B e3 ]  [ b4 ] , [ N b1 ]  11.[ N a4 ] [ c5 ] leaves the knight in a precarious situation.
 [ b x c6 ]  [ Q x c6 + ] , [ B d7 ]  Again developing with a gain of tempo. No single minor piece of mine is developed so far and my queen is being hunted I have to be careful!
 [ N x e6 ] , [ Q h4 ]  Threatening Qxh2#.
 [ B g6 ]  [ N c6 ] , [ Q e8 ]  only move. the position is scary but there is no direct threat.
 [ N x d4 ] , [ h5 ]  I'll sacrifice a pawn to remove the defender from [ f5 ] to get my knight another square to maneuver
 [ d3 ] , [ B x e3 ]  Ok ok I lost the e3[ x f2 ] check. But I have a concrete material win here.
 [ O-O ] , [ O-O ]  ?? Allows a skewer.
 [ B e3 ]  [ N a5 ]  [ B c2 ] , [ f5 ]  14. ..... [ f5 ] - bolsters my knight.
 [ R b6 + ]  [ K g7 ]  [ K e4 ]  [ R h5 ]  [ c4 ]  [ R x h4 + ]  [ K d5 ]  [ R h5 + ]  [ K d6 ]  [ g5 ]  [ c5 ]  [ g4 ]  [ c6 ]  [ R h6 + ]  [ K d7 ]  [ g3 ]  [ c7 ]  [ R h8 ] , [ c8 = Q ]  ...and my sole survivor creates a diversion for the rook...
 [ R x d6 ]  [ Q c2 ]  [ N f x e4 ]  [ b x c5 ]  [ R d4 ]  [ N x d4 ]  [ N x g5 ]  [ N b3 ]  [ e4 ]  [ B e2 ]  [ B d7 ]  [ Q d2 ]  [ N f3 + ]  [ B x f3 ]  [ e x f3 ] , [ O-O ]  So I escaped from all danger and stay with a quality... better than I thought.
 [ R e x g2 + ]  [ K h1 ] , [ R c e2 ]  [28...Rce2??] Instead 28...Rxh2ch 29.[ K g1 ] Rg2#. The Knight on [ b4 ] is no more than a scarecrow... But having scared the crows White now wins a reprieve...
 [ K d8 ] , [ d5 ]  Forcing the knight to move the most logical square and the one played is e5.
 [ R g1 ] , [ K g7 ]  Time to activate the King.
 [ R x e5 ] , [ Q f3 + ]  33.[ Q f3 + ] didn't see that but I've got my R and Q lined up for mate.
 [ N x g5 ]  [ Q x g5 ] , [ f6 ]  A crucial mistake. Black's best defense would have been [ N e6 ] protecting the [ g7 ] pawn and attacking my queen simultaneously.
 [ N e3 ]  [ R f d8 ] , [ N x d5 ]  Exchanging material was great to me!
 [ B g5 ] , [ R f8 ]  Would [ f6 ] have been a better option?
 [ b x c5 ] , [ b x c5 ]  black opens a file but it will take a while to use it.
 [ d5 ] , [ B f4 ]  This is a theme tournament using this as the starting position. This is the "Mason Opening " named after Irish chessmaster James Mason who often employed 2. [ B f4 ] in symmetrical queen-pawn games. It usually transposes into what became known later as the London System but there are a few independent curiosities.
 [ R g h1 ] , [ R g2 + ]  I was always taught of the power of a rook on the 7th rank. Whilst the exchange was not to White's liking he should have kept the rook on [ g1 ] as if Black plays Rx[ g1 ] Rx[ g1 ] still gives White some measure of control over the g-file. Now White's king is pushed back and Black has a choice of how to mop up the Q-side pawns.
 [ Q e6 ] , [ Q c3 ]  Noticing the knight fork on [ f6 ]  [ N x f6 + ]  [ K g6 ]  [ N x e8 ]  [ R x e8 ] , [ K d2 ]  A blunder losing the bishop to the pin on Rd8. There is nothing wrong with [ R e7 ] or [ c3 ] to activate the king without losing material. Fortunately I was able to win the endgame without the extra piece.
 [ N f6 ] , [ f3 ]  getting rid of the e pawn. if taken queen develops if [ e3 ] bishops develops. if not [ f x e4 ]  [ e x f3 ]  [ Q x f3 ]  [ N b d7 ] , [ B d3 ]  developing bishops and getting ready to 0-0
 [ B x f3 ]  [ N x f3 ] , [ b5 ]  Continues pawn storm
 [ K b4 ] , [ h5 ]  H pawn makes it's move with the white king now out of reach.
 [ B b4 ]  [ B d2 ]  [ R x e2 + ]  [ N x e2 ]  [ B x d2 + ]  [ K x d2 ] , [ d5 ]  Freeing my White Bishop and attacking his.
 [ d4 ] , [ B e7 ]  7. ......... Be7?! - this move was recommended in the World Database and in fact two strong experts played this move and won. It loses a pawn however. The excalmation mark part of the move is that at least black will have the bishop pair but is it enough? I am now ready to castle but as you will see I never got round to it!
 [ b4 ]  [ N d1 ]  [ c4 ] , [ Q b1 ]  17. Qb1? - this move gives black a very strong initiative - he now adds weight to his strong queenside pawns by putting his knight on c5. I moved Glenda to [ b1 ] in order to remove her from the c file and to maintain protection of [ e4 ] - but as you will see this does not wash. Here it is folks when I am met with an attack like this I do tend to go on the defensive - it is a good habit to break and I am trying to do this but occasionally I may slip up and this is one of them. Michael suggested that I should have moved my knight straight to f2.
 [ d4 ]  [ e6 ] , [ f4 ]  The Colle/Stonewall attack — rare at the pro level but very popular among attack-happy amateurs.
 [ B x c2 ]  [ d3 ]  [ b5 ] , [ R c1 ]  aiming at the B
 [ K h1 ]  [ R x b2 ]  [ R g6 + ]  [ K d7 ]  [ R g7 + ] , [ K c8 ]  I feel like I am in a rap song. Back that king up Back that king up.
 [ K g2 ] , [ B d8 ]  guarding square in front of pawn. It's a draw if king captures h-pawn so I am taking all precautions necessary to stop this
 [ f x g4 ] , [ Q x e4 + ]  A definite gain of ground and material is level again but not quite a breakthough - not yet.
 [ N x e5 ] , [ N x e5 ]  thanks for the queen!
 [ N x c6 ] , [ K c7 ]  I capture black's [ d6 ] knight and king moves to [ c7 ] attacking my [ c6 ] knight.
 [ B x h7 + ]  [ K f8 ]  [ R x f7 + ]  [ K x f7 ] , [ R f1 + ]  If 20 ...K-[ e8 ] 21 [ B g6 ] Mate
 [ Q x f6 ]  [ N c3 ] , [ O-O ]  castle due to large forkage
 [ d4 ] , [ N b6 ]  Hoping to chase the knight away or swap it off.
 [ h5 ]  [ K e2 ]  [ K g6 ] , [ h3 ]  Carlsen wants to bring his King to the other side. But the potential problem is the Black King can get in via g4. So [ h3 ] stops it for now. Still equal and still heading toward another draw. A slew of moves to simplify things even further
 [ N x f3 + ]  [ K g2 ]  [ N x e1 + ] , [ R x e1 ]  20. [ K f1 ] had been stronger but Whites' advantage still holds...
 [ Q d7 ] , [ h x g6 ]  The [ [ d6 ] ] pawn is marked for death but not without some hijinx first. Black must deal with the threats created by [ h x g6 ] so that I can capture [ [ d6 ] ] at my leisure. I believe Black has resigned itself to the loss of the pawn but perhaps they'll do something foolish like 17...Ne8?? to protect a pawn....and lose the game. At 1633 rating I wouldn't expect that. Still fun to try and in the meantime Black's fortress is opened up. I do love chess! :D
 [ N d4 ] , [ O-O ]  Tucking his King away before engaging in complications.
 [ N x d5 ]  [ N x d5 ]  [ e x d5 ]  [ Q x d5 ] , [ B f3 ]  After a bit of exchanges White relocates his bishop with tempo.
 [ c4 ]  [ c5 ]  [ N f3 ]  [ N c6 ]  [ e3 ]  [ e6 ]  [ N c3 ]  [ N f6 ]  [ d4 ]  [ d5 ]  [ c x d5 ]  [ e x d5 ]  [ B e2 ]  [ B d6 ]  [ d x c5 ]  [ B x c5 ]  [ O-O ]  [ O-O ]  [ b3 ]  [ a6 ]  [ N a4 ]  [ B d6 ]  [ B b2 ]  [ N e4 ]  [ R c1 ]  [ R e8 ]  [ N c3 ]  [ N x c3 ]  [ B x c3 ]  [ B c7 ]  [ Q d3 ]  [ B e6 ]  [ R f d1 ]  [ R c8 ]  [ Q b1 ]  [ Q e7 ]  [ Q a1 ]  [ f6 ]  [ N d4 ]  [ N x d4 ]  [ B x d4 ]  [ B d6 ]  [ B f3 ]  [ R c6 ]  [ B b2 ]  [ R e c8 ]  [ g3 ]  [ B a3 ]  [ R x c6 ]  [ b x c6 ]  [ B x a3 ]  [ Q x a3 ]  [ R d4 ]  [ Q a5 ]  [ R a4 ]  [ Q b6 ]  [ Q f1 ]  [ R a8 ]  [ Q d3 ]  [ B f7 ]  [ b4 ]  [ B e6 ]  [ Q d4 ]  [ Q x d4 ]  [ e x d4 ]  [ K f8 ]  [ B e2 ]  [ B c8 ]  [ f3 ]  [ K e7 ]  [ K f2 ]  [ K d6 ]  [ R a5 ]  [ B b7 ]  [ K e3 ]  [ K c7 ]  [ K d2 ]  [ K b6 ]  [ a3 ]  [ R e8 ]  [ R c5 ]  [ B c8 ]  [ a4 ]  [ B d7 ]  [ B d3 ]  [ h6 ]  [ a5 + ]  [ K b7 ]  [ R c1 ]  [ B c8 ]  [ B g6 ]  [ R e7 ]  [ R e1 ]  [ R x e1 ]  [ K x e1 ] , [ K c7 ]  In almost any endgame it is a significant advantage to have the more active king and this is a perfect illustration of that rule applying in a bishop endgame. Black has two weak pawns on [ a6 ] and [ c6 ] to the defence of which his bishop will be tied down. Meanwhile White will penetrate with his king on the weakened light squares on the kingside (two weaknesses!}. It seems unlikely that he should be able to do so but with the aid of zugzwang his king makes it all the way to h8. Finally we see another typical device in minor piece endings - the sacrifice of a piece to net a winning collection of pawns. Averbakh's handling of the endgame is technically flawless.
 [ R e a1 ]  [ R c7 ]  [ c4 ]  [ f5 ]  [ K b1 ]  [ d x c4 ]  [ N x c4 ]  [ a4 ]  [ N b6 ]  [ R a6 ]  [ N x a4 ]  [ R a c6 ]  [ K a2 ]  [ R c6 c2 + ]  [ K b1 ]  [ R c2 c1 + ]  [ R x c1 ]  [ R x c1 + ]  [ K a2 ]  [ R c2 + ]  [ K b1 ]  [ R h2 ]  [ R a2 ]  [ R x h3 ]  [ R e2 ]  [ R x h5 ] , [ N b2 ]  Up two points black should trade.
 [ K f7 ] , [ f6 ]  I'll just move it into the safe zone.
 [ c x d4 ]  [ N x d4 ]  [ N c5 ]  [ f3 ]  [ a5 ] , [ b3 ]  This move seems very passive to me I'm still not entirely sure why i made it.
 [ f4 ]  [ d x e3 + ]  [ K f3 ]  [ B e4 + ] , [ N x e4 ]  Well white resigned because of [ d x e4 ] 22.[ K x e3 ] Qg3+23.[ K e2 ] [ Q x g2 ]  [ d x e4 + ]  [ K x e3 ] , [ Q g3 + ]  White resigned.
 [ B f6 ]  [ N x e4 ]  [ B x b2 ]  [ R b1 ]  [ B x a3 ]  [ R x b7 ] , [ R e8 ]  So the smoke has cleared. I have a rook on the powerful 7th rank I still have an extra pawn but the pawn on [ e6 ] is going to fall at any moment and Black has an outside passed pawn that could prove very difficult to stop especially in an endgame where the rook on [ a8 ] protects it. I thought for awhile here and decided that my top priority needed to be stopping the [ d3 ] pawn.
 [ B x c2 ]  [ N x b7 ]  [ c x d5 ] , [ R h3 ]  Black loses at least a pawn and still is behind in development. Resignation was in order.
 [ B x f5 ]  [ N f6 ]  [ N g5 ]  [ N d8 ]  [ g3 ]  [ e6 ] , [ B f4 ]  blatant attack on she-woman.
 [ h5 ] , [ h4 ]  Now this side is locked. Black king cannot unlock it. Black don't have any good move. [ d5 ] loses because of [ K c5 ] zugzwang. [ a5 ] loses as we will see. Any king move loses (for example [ K d7 ] K[ d5 ] and white either make a passed pawn on the a or b files or black stops the pawn in a or b rank and loses the [ d6 ] and [ f5 ] pawns...)
 [ B x f3 ]  [ Q x f3 ]  [ N d4 ] , [ Q d1 ]  15. [ Q d1 ] - black decided to exchange on [ f3 ] - I was pleased with that because as I am a piece up I will need to exchange pieces to simplify to a won ending. This queen retreat drives back the black knight.
 [ N x e6 ] , [ d3 ]  Blocking queen... For now!
 [ e5 ] , [ N f d7 ]  well this helps now i can catch up on developement.
 [ R x h7 + ]  [ K g8 ]  [ R g7 + ] , [ K h8 ]  Steinitz's checks haven't been without purpose surprisingly!Now that Von Bardeleben h-pawn has been eliminated Steinitz can bring the queen into the attack with check. White must not allow black to play [ R x c1 ] which mates quickly so keepingthe black king in check is crucial. By replacing the harrasing rook with a marauding queen white increases his attacking force by a decisive amount.
 [ d6 ] , [ N c3 ]  bring out my other knight
 [ K h2 ] , [ N g4 + ]  !!Step #2 - Keep up the pressure. If 20. hxN then 20...Qxg. 21. [ R g1 ] would fail to 21...[ b d6 ] 22. [ K h1 ] [ Q h3 # ] or 22. [ f4 ] Bxf 23. [ K h1 ] Qh3#. If 20. [ K g1 ] then 20...[ N e3 ] 21. [ K h1 ] [ Q g2 # ] [21. [ K h2 ] Qg2#]. If 20. [ K g2 ] then 20...[ N e3 ] 21. [ K h1 ] [ Q g2 # ] [21. [ K h2 ] Qg2#]. So black makes his only other legal play........
 [ Q b5 ] , [ N c7 # ]  checkmate with two Knights Freddy.. in 17 moves !!! Thanks to all tourney players
 [ d x e4 ] , [ f3 ]  [ Q x f3 ] then [ B c4 ] treat [ f7 ]  [ e x f3 ]  [ Q x f3 ] , [ B d7 ]  this was wrong black move ignoring the treat coming on [ f7 ]  [ B c4 ] , [ e6 ]  yes but i will castle soon and treat again [ f7 ]  [ N e2 ] , [ B c6 ]  was not expected good move !
 [ B x f2 + ] , [ K f1 ]  He doesn't capture the bishop because 6.[ K x f2 ] A[ x e4 ] black gains tempo and with 7...[ d5 ] he gets a strong attack.
 [ h x g4 ]  [ B x e5 ]  [ f x e5 ]  [ N e4 ]  [ N x e4 ] , [ d x e4 ]  Okay. This is the set up I (and most likely he) saw coming after all the trading. I don't feel too bad but I do something stupid. Not in terms of moves (well that too) but I allow one more move...
 [ R x e8 + ]  [ Q x e8 ]  [ B x f6 ]  [ R g8 ] , [ N d5 ]  blunder but what else can white play - [ g4 ] !?
 [ R h h6 ] , [ R e7 ]  Ha! Yes we could have wiped out all the rooks but this is quicker. Black's move is forced:
 [ d4 ]  [ d5 ]  [ N f3 ]  [ N f6 ]  [ e3 ]  [ c6 ]  [ c4 ] , [ e6 ]  A slow opening...
 [ Q c2 ]  [ Q a5 + ]  [ K c1 ]  [ Q e1 + ]  [ K b2 ]  [ Q b4 + ]  [ K a2 ]  [ Q a5 + ]  [ K b3 ]  [ Q b5 + ]  [ K c3 ]  [ Q c5 + ]  [ K d3 ] , [ Q a3 + ]  he's trying to get a perpetual check stalemate so I work on a plan to hide behind the isolated pawn
 [ Q a5 ] , [ R e3 ]  Black threatens the white rook on e1. It's defended but I've been known to move the wrong rook in other games... My goal here is to get my rooks in front of my king and block the attacks on the half-open files maybe trade some rooks while I'm at it and maybe even triple my attack down the d-file hoping for a back-rank mate.
 [ R d7 ]  [ R x c3 ]  [ Q x f7 + ]  [ K h8 ] , [ Q g7 # ]  
 [ Q d6 ] , [ N e4 ]  Driving the Q back.
 [ Q c4 ] , [ Q x c4 ]  exchange is in my advantage considering the white situation
 [ Q x d4 ]  [ d5 ] , [ B e3 ]  Defending against the skewer and developing actively
 [ R x g5 ]  [ R h1 + ]  [ R g1 ] , [ R x g1 # ]  Closing the book on this one.
 [ N e4 ] , [ Q f4 ]  blacks best move of the game probably
 [ N c6 ]  [ B b5 ] , [ N d7 ]  Black is trying to entice the vulnerable Queen forward. Technically better is 6... Ng8.
 [ b5 ] , [ B b3 ]  It's more logical to drop the bishop all the way back to [ a2 ] now that you made a "loophole"
